ID,Gender,MaritalStatus,Education,CommuteDistance,PerformanceRating,PercentSalaryHike,MonthlyIncome,StockOptionLevel,CompanyProfit,Department,BusinessTravel,YearsWithCurrentManager,YearsSinceLastPromotion,JobSatisfaction,EnvironmentSatisfaction,TrainingHoursLastYear,TotalWorkingYears,YearsInCurrentRole,YearsAtCompany,NumbersCompaniesWorked,WorkLifeBal,JobLevel,Attrition,ReasonToManager,ReasonInExitInterview
0,Female,Married,Under-Graduate,1,4,12,45776,1,1,Product Management,1,3,1,5,5,4,7,1,4,1,4,Developer,Yes,Family Responsibilities,Rigid Maternity Policy
1,Female,Single,Graduate,1,4,11,57739,0,-1,Development,1,0,0,1,3,5,0,0,0,1,1,Developer,Yes,Technology,Higher studies
2,Female,Married,Graduate,1,4,11,51692,1,-1,HR,1,0,0,5,4,2,3,0,0,1,1,Developer,Yes,Family Responsibilities,Rigid Maternity Policy
3,Female,Single,Graduate,2,4,15,51016,0,0,People Management,0,3,1,2,4,3,7,0,4,2,3,Developer,Yes,Repetitive task,Want Challenging task
4,Female,Married,Graduate,3,4,12,49934,0,-1,Testing,0,0,0,3,2,3,1,0,0,1,1,Associate Developer,Yes,Family Responsibilities,Rigid Maternity Policy
5,Male,Single,Under-Graduate,1,3,15,47176,0,-1,Consultancy,0,1,0,3,5,2,3,1,2,1,1,Developer,No,,
6,Female,Married,Graduate,1,3,14,49449,0,-2,Public Relations,1,0,0,1,2,3,0,0,0,1,4,Developer,No,,
7,Male,Single,Graduate,2,5,11,53830,0,1,Product Management,1,0,0,2,2,5,3,0,0,1,2,Developer,Yes,Technology,Higher studies
8,Female,Married,Graduate,1,3,16,48518,0,-1,Development,1,0,2,3,3,4,5,0,2,2,3,Developer,Yes,Family Responsibilities,Rigid Maternity Policy
9,Male,Single,Graduate,1,4,18,48974,0,-2,Sales,0,0,0,4,2,5,2,0,0,2,2,Associate Developer,No,,
10,Male,Single,Graduate,2,3,18,46191,1,-2,Sales,0,1,0,4,5,5,2,0,1,1,5,Associate Developer,No,,
11,Male,Single,Under-Graduate,1,4,12,41269,0,-2,Public Relations,0,0,0,5,5,4,0,0,0,1,5,Associate Developer,Yes,Technology,Higher studies
12,Female,Single,Graduate,3,5,18,48089,1,-1,Public Relations,0,0,0,1,1,5,3,0,1,2,1,Associate Developer,Yes,Technology,Higher studies
13,Female,Married,Graduate,1,2,20,47025,1,1,Sales,0,0,0,5,3,5,0,0,0,1,5,Associate Developer,Yes,Family Responsibilities,Rigid Maternity Policy
14,Female,Single,Graduate,1,5,19,42203,0,0,Testing,0,0,0,4,5,5,1,0,0,1,5,Associate Developer,Yes,Technology,Higher studies
15,Female,Single,Under-Graduate,1,5,15,45041,1,1,Consultancy,0,0,0,5,3,3,2,0,0,2,3,Associate Developer,No,,
16,Male,Single,Graduate,2,4,17,54427,1,0,DevOps,1,0,0,5,5,5,4,0,0,4,4,Developer,No,,
17,Male,Married,Graduate,1,3,15,42166,1,0,Consultancy,0,0,0,5,3,3,0,0,0,1,3,Associate Developer,No,,
18,Female,Married,Graduate,1,4,18,53817,1,-2,DevOps,0,1,3,5,5,2,7,3,3,2,1,Developer,Yes,Family Responsibilities,Rigid Maternity Policy
19,Female,Married,Graduate,1,5,14,56722,1,-1,Sales,0,0,0,3,1,5,6,0,1,1,5,Developer,No,,
20,Female,Single,Graduate,1,5,11,55058,0,-1,Product Management,0,0,0,4,4,4,1,0,0,4,1,Developer,Yes,Repetitive task,Want Challenging task
21,Female,Single,Under-Graduate,2,5,14,51066,1,-1,Consultancy,0,3,3,2,3,2,7,1,4,4,4,Developer,Yes,Repetitive task,Want Challenging task
22,Male,Single,Graduate,1,3,16,51490,0,-2,Development,0,1,0,1,1,3,7,1,1,4,1,Developer,No,,
23,Female,Married,Graduate,1,3,20,47887,1,-1,People Management,0,0,0,5,5,2,0,0,0,1,3,Associate Developer,Yes,Family Responsibilities,Rigid Maternity Policy
24,Male,Single,Graduate,1,4,14,46961,1,-2,Sales,0,0,0,5,5,4,1,0,0,1,5,Developer,Yes,Technology,Higher studies
25,Male,Single,Graduate,1,4,14,59906,0,-2,Sales,0,3,3,1,5,4,6,3,4,1,4,Developer,No,,
26,Female,Single,Graduate,1,3,18,46768,1,1,Consultancy,0,0,0,3,5,4,0,0,0,1,3,Developer,No,,
27,Female,Single,Graduate,1,4,12,50235,1,-1,Product Management,1,2,0,2,1,5,8,0,4,2,5,Developer,Yes,Repetitive task,Want Challenging task
28,Male,Married,Graduate,3,5,13,45389,1,0,Consultancy,0,0,0,5,5,3,2,0,0,2,1,Associate Developer,No,,
29,Male,Married,Graduate,3,4,13,49963,1,-2,Product Management,1,0,0,5,5,5,7,0,1,3,1,Developer,No,,
30,Female,Single,Under-Graduate,1,5,16,47438,1,-1,Testing,0,0,1,5,5,4,2,1,1,2,3,Associate Developer,Yes,Technology,Higher studies
31,Female,Single,Graduate,1,4,17,48485,1,-1,Testing,0,0,0,5,5,4,7,2,3,4,5,Developer,Yes,Technology,Higher studies
32,Male,Single,Graduate,3,4,15,49015,0,1,People Management,0,0,0,3,5,3,6,0,1,4,1,Developer,Yes,Repetitive task,Want Challenging task
33,Female,Married,Graduate,2,3,18,59691,0,-2,Consultancy,1,0,0,1,1,3,6,0,0,2,4,Developer,No,,
34,Male,Single,Under-Graduate,1,4,18,40356,1,1,Product Management,0,0,0,1,3,4,2,0,0,1,3,Associate Developer,Yes,Technology,Higher studies
35,Male,Single,Graduate,1,5,17,50179,0,0,HR,0,0,1,5,1,4,8,0,1,3,3,Developer,No,,
36,Male,Single,Graduate,2,5,18,41138,1,0,Sales,0,0,0,5,3,5,1,0,0,2,3,Associate Developer,No,,
37,Female,Single,Graduate,2,5,16,47718,0,1,Consultancy,1,0,0,3,1,5,1,0,0,3,3,Developer,Yes,Technology,Higher studies
38,Male,Married,Graduate,1,4,14,56837,0,1,Product Management,1,1,2,3,1,5,4,1,2,2,3,Developer,Yes,Repetitive task,Want Challenging task
39,Male,Single,Graduate,1,5,18,40367,0,-2,DevOps,0,0,1,5,1,5,3,0,1,1,1,Associate Developer,No,,
40,Female,Married,Graduate,3,4,15,47663,1,1,DevOps,0,0,0,3,1,4,0,0,0,1,5,Associate Developer,No,,
41,Female,Single,Graduate,1,5,12,41972,0,-2,HR,0,0,0,3,5,2,1,0,0,2,1,Associate Developer,Yes,Repetitive task,Want Challenging task
42,Female,Married,Under-Graduate,1,3,12,55187,1,1,Sales,1,0,0,3,1,3,2,0,1,2,3,Developer,Yes,Family Responsibilities,Rigid Maternity Policy
43,Female,Married,Graduate,1,5,14,43967,1,0,Product Management,0,0,0,4,1,5,2,0,1,1,3,Associate Developer,Yes,Family Responsibilities,Rigid Maternity Policy
44,Female,Single,Graduate,1,3,15,45415,0,-2,Product Management,0,2,1,1,3,3,3,2,2,2,1,Associate Developer,No,,
45,Female,Single,Graduate,2,4,17,48092,0,-1,Development,0,0,1,4,1,3,2,0,1,1,5,Associate Developer,No,,
46,Female,Single,Graduate,1,4,19,45539,0,0,DevOps,0,0,0,2,3,3,0,0,0,1,4,Associate Developer,Yes,Repetitive task,Want Challenging task
47,Female,Single,Graduate,2,4,17,40967,0,1,Product Management,0,0,0,5,3,3,2,0,0,2,5,Associate Developer,No,,
48,Female,Single,Graduate,1,5,18,46433,1,1,Training,1,0,0,5,1,3,7,0,0,4,4,Developer,Yes,Technology,Higher studies
49,Female,Single,Graduate,3,3,10,46844,1,-1,Product Management,0,1,0,4,4,5,8,0,1,2,5,Developer,No,,
50,Female,Married,Graduate,1,3,17,45670,0,1,DevOps,0,0,0,3,2,4,2,0,1,1,5,Associate Developer,Yes,Family Responsibilities,Rigid Maternity Policy
51,Male,Single,Graduate,1,3,19,45876,1,0,DevOps,0,0,0,5,1,4,0,0,0,1,5,Associate Developer,No,,
52,Male,Single,Graduate,1,3,16,45392,0,1,DevOps,0,1,0,1,5,5,5,2,3,3,3,Developer,No,,
53,Female,Single,Graduate,1,4,12,44340,0,1,HR,0,1,1,2,3,4,3,0,2,2,1,Associate Developer,Yes,Repetitive task,Want Challenging task
