ID,Gender,MaritalStatus,Education,CommuteDistance,PerformanceRating,PercentSalaryHike,MonthlyIncome,StockOptionLevel,CompanyProfit,Department,BusinessTravel,YearsWithCurrentManager,YearsSinceLastPromotion,JobSatisfaction,EnvironmentSatisfaction,TrainingHoursLastYear,TotalWorkingYears,YearsInCurrentRole,YearsAtCompany,NumbersCompaniesWorked,WorkLifeBal,JobLevel,Attrition
15399,Female,Married,Graduate,1,4,9,63916,2,-1,Sales,2,7,1,4,3,2,14,6,8,3,2,Product Manager,Yes
15400,Female,Single,Post-Graduate,2,5,8,60849,2,-1,Training,3,2,4,4,2,3,10,4,9,1,1,Product Manager,No
15401,Female,Married,Post-Graduate,4,4,6,82634,2,1,HR,3,3,4,4,4,4,8,4,8,1,4,Product Owner,No
15402,Male,Married,Post-Graduate,3,3,8,80709,2,1,Product Management,3,5,5,1,2,2,16,3,11,4,4,Product Owner,Yes
15403,Female,Married,Graduate,2,3,13,63564,2,1,Testing,2,1,0,5,4,2,17,5,6,2,2,Senior Developer,No
15404,Male,Married,Post-Graduate,2,3,6,89248,2,-1,People Management,3,2,5,2,4,3,9,7,9,1,4,Product Owner,Yes
15405,Male,Married,Graduate,4,5,6,77814,3,-1,DevOps,3,8,5,2,5,3,20,6,13,2,3,VP,Yes
15406,Female,Married,Graduate,4,3,9,79042,3,1,Training,3,9,4,3,4,4,19,4,11,3,3,VP,No
15407,Male,Married,Post-Graduate,3,5,9,86865,2,1,People Management,3,7,6,4,2,1,18,9,11,2,3,VP,Yes
15408,Female,Divorced,Post-Graduate,4,4,12,50628,2,1,Testing,3,7,2,4,4,4,16,3,9,1,2,Product Manager,No
15409,Male,Single,Post-Graduate,4,4,9,53794,2,-1,Product Management,2,5,5,4,3,4,8,4,8,1,5,Product Manager,Yes
15410,Female,Married,Graduate,4,3,7,77914,3,-1,Public Relations,3,9,1,5,5,1,15,5,13,4,5,VP,No
15411,Female,Married,Post-Graduate,4,3,10,47150,2,0,People Management,3,6,2,2,4,2,20,7,10,1,5,Product Manager,Yes
15412,Male,Single,Graduate,2,3,11,57894,2,0,DevOps,2,2,0,4,5,4,10,4,9,1,4,Product Manager,No
15413,Female,Married,Graduate,2,5,7,94450,2,-2,Testing,3,5,5,5,4,1,8,3,8,1,4,Product Owner,No
15414,Female,Married,Post-Graduate,3,3,8,80837,2,0,People Management,3,2,1,4,4,1,16,8,11,4,5,Product Owner,No
15415,Female,Married,Doctorate,2,4,18,59439,2,-2,Development,2,3,3,4,4,2,8,4,7,2,4,Senior Developer,No
15416,Female,Single,Post-Graduate,1,3,9,92470,2,1,Consultancy,3,4,4,3,3,1,8,4,8,1,2,Product Owner,Yes
15417,Male,Married,Post-Graduate,1,5,11,47230,2,0,HR,3,2,0,4,4,3,13,5,8,2,4,Product Manager,No
15418,Male,Married,Graduate,1,5,14,45923,2,-1,Development,2,1,3,1,3,1,15,4,6,4,1,Senior Developer,Yes
15419,Male,Married,Graduate,4,3,10,47880,2,1,Sales,3,4,0,5,2,2,11,3,9,3,2,Product Manager,Yes
15420,Male,Single,Graduate,2,5,9,90940,3,0,Training,3,5,2,4,4,1,9,4,9,1,2,Product Owner,Yes
15421,Male,Married,Doctorate,1,4,6,88550,2,1,DevOps,3,4,1,1,3,1,14,4,11,3,1,Product Owner,No
15422,Male,Divorced,Doctorate,4,3,14,60705,2,1,Sales,3,0,0,2,5,1,18,4,5,1,2,Senior Developer,Yes
15423,Male,Married,Graduate,2,5,8,92088,2,0,Consultancy,3,4,3,5,3,1,9,4,9,1,4,Product Owner,No
15424,Female,Married,Post-Graduate,4,5,7,93319,3,-1,Consultancy,3,3,4,5,2,2,18,10,14,2,2,VP,Yes
15425,Female,Married,Doctorate,4,3,6,88163,2,1,Training,3,4,0,1,4,4,11,7,9,3,2,Product Owner,Yes
15426,Male,Single,Graduate,2,5,11,57522,2,1,HR,3,4,0,3,5,1,8,7,8,1,4,Product Manager,No
15427,Male,Married,Post-Graduate,2,3,8,76501,2,-2,Product Management,3,4,0,3,5,3,15,5,11,3,3,Product Owner,No
15428,Female,Married,Post-Graduate,2,4,9,94107,2,0,Development,3,7,3,5,4,1,14,5,11,4,2,Product Owner,No
15429,Male,Married,Post-Graduate,1,3,8,87487,3,-2,DevOps,3,7,5,1,2,1,20,4,10,4,1,Product Owner,Yes
15430,Male,Single,Post-Graduate,3,5,12,52736,2,-1,HR,2,6,4,4,2,2,8,6,8,1,4,Product Manager,No
15431,Male,Married,Graduate,3,5,15,60718,2,0,Testing,3,2,2,4,4,3,20,3,7,2,5,Senior Developer,Yes
15432,Male,Married,Graduate,3,4,6,91577,2,1,Training,3,5,2,5,1,4,8,7,8,1,4,Product Owner,No
15433,Male,Single,Post-Graduate,3,3,14,57783,2,0,Consultancy,3,2,3,3,4,1,11,4,8,4,3,Senior Developer,Yes
15434,Male,Married,Doctorate,1,5,6,89014,3,-1,Testing,3,3,2,2,5,2,13,8,11,2,5,Product Owner,Yes
15435,Male,Married,Post-Graduate,4,4,8,58742,2,-1,Consultancy,3,2,0,4,4,3,11,3,10,1,4,Product Manager,No
15436,Male,Married,Post-Graduate,1,4,11,55658,2,-1,HR,3,6,1,5,5,1,13,5,10,1,1,Product Manager,No
15437,Male,Married,Graduate,3,4,7,75663,2,0,Development,3,4,2,2,5,1,15,8,9,2,5,Product Owner,No
15438,Male,Single,Graduate,2,3,8,84782,2,0,Consultancy,3,7,3,3,1,1,13,7,9,3,5,Product Owner,Yes
15439,Male,Married,Post-Graduate,2,4,17,60404,2,1,Product Management,2,3,1,2,5,1,13,4,8,2,3,Senior Developer,No
15440,Female,Divorced,Graduate,4,4,11,57777,2,-2,Training,2,6,1,4,5,4,9,4,8,2,4,Product Manager,Yes
15441,Female,Married,Post-Graduate,4,3,15,60708,2,-1,Training,3,0,0,5,2,1,13,5,8,1,3,Senior Developer,No
15442,Male,Married,Doctorate,3,3,8,85379,3,-2,DevOps,3,5,1,2,2,2,12,3,11,4,3,Product Owner,No
15443,Male,Divorced,Graduate,1,4,8,79720,2,0,Development,3,2,0,3,3,4,10,8,9,4,5,Product Owner,Yes
15444,Male,Married,Graduate,4,3,6,88451,3,1,Testing,3,3,0,3,3,2,15,7,12,3,5,VP,Yes
15445,Female,Married,Graduate,4,4,9,50959,2,0,Public Relations,3,2,3,3,2,3,16,3,8,3,4,Product Manager,No
15446,Female,Married,Graduate,2,3,7,91541,2,-2,Sales,3,3,0,2,2,2,19,4,11,4,4,Product Owner,No
15447,Female,Married,Post-Graduate,2,3,12,56858,2,-1,People Management,2,3,0,4,3,4,13,3,8,4,2,Product Manager,No
15448,Male,Married,Post-Graduate,1,4,17,53572,2,0,DevOps,3,1,0,1,3,3,15,5,6,1,5,Senior Developer,No
15449,Male,Married,Graduate,4,4,6,86613,2,0,People Management,3,6,5,2,4,4,14,8,11,3,2,Product Owner,Yes
15450,Male,Single,Graduate,2,4,16,64926,2,1,Consultancy,2,3,3,4,5,4,11,5,6,1,5,Senior Developer,Yes
15451,Male,Single,Post-Graduate,2,3,9,92086,2,1,DevOps,3,3,2,3,5,2,16,7,9,4,2,Product Owner,No
15452,Female,Married,Graduate,2,4,15,46400,2,-1,Testing,3,1,3,3,1,4,15,4,7,3,2,Senior Developer,Yes
15453,Male,Married,Post-Graduate,4,3,10,56138,2,-2,Consultancy,2,3,0,2,5,4,9,7,8,3,5,Product Manager,No
15454,Female,Married,Graduate,3,5,6,91760,2,1,HR,3,3,0,1,1,1,19,5,11,4,4,Product Owner,Yes
15455,Female,Married,Graduate,2,4,10,46334,2,-1,Consultancy,3,3,5,5,3,4,18,4,10,3,3,Product Manager,Yes
15456,Male,Married,Graduate,4,3,6,80926,3,0,Testing,3,6,3,3,5,1,16,9,14,3,1,VP,Yes
15457,Female,Single,Post-Graduate,2,4,15,61543,2,-2,Testing,3,2,0,1,4,4,11,3,7,1,4,Senior Developer,Yes
15458,Female,Married,Graduate,3,3,18,60849,2,-1,DevOps,3,0,0,4,3,2,10,3,7,4,3,Senior Developer,No
15459,Female,Married,Graduate,3,3,8,78482,2,0,Sales,3,4,6,4,4,1,16,4,11,4,4,VP,No
15460,Female,Married,Graduate,2,3,6,79930,2,-1,People Management,3,5,4,3,1,4,9,7,9,1,1,Product Owner,No
15461,Female,Married,Graduate,3,3,9,86878,3,1,HR,3,9,0,3,3,3,18,8,13,2,5,VP,No
15462,Female,Single,Post-Graduate,4,5,10,47349,2,0,HR,2,4,0,3,2,1,14,7,8,3,1,Product Manager,No
15463,Male,Married,Post-Graduate,3,4,7,92784,2,1,Development,3,3,3,4,2,1,9,8,9,1,5,Product Owner,Yes
15464,Male,Married,Post-Graduate,3,4,18,52881,2,1,Product Management,3,0,0,3,1,2,18,3,8,1,2,Senior Developer,Yes
15465,Male,Married,Post-Graduate,2,3,10,50665,2,-1,Public Relations,2,7,1,3,1,3,15,5,8,4,5,Product Manager,No
15466,Male,Married,Post-Graduate,3,4,9,85452,3,-2,Public Relations,3,7,3,4,2,1,14,4,11,3,4,Product Owner,No
15467,Male,Married,Post-Graduate,1,4,9,45101,2,-1,Product Management,3,4,4,5,4,4,8,7,8,1,4,Product Manager,No
15468,Female,Divorced,Graduate,4,3,17,51053,2,-1,Public Relations,3,2,1,3,4,1,15,3,8,1,5,Senior Developer,Yes
15469,Female,Married,Graduate,3,3,15,64123,2,-2,HR,3,2,3,2,5,4,19,4,7,1,5,Senior Developer,Yes
15470,Male,Divorced,Graduate,1,3,6,92119,3,0,Public Relations,3,5,3,2,5,1,13,8,10,3,1,Product Owner,No
15471,Female,Married,Graduate,1,4,8,92736,2,1,Product Management,3,6,3,2,5,2,19,11,14,4,5,VP,No
15472,Female,Married,Post-Graduate,2,5,6,81567,3,-1,Product Management,3,6,3,3,1,1,19,7,11,4,2,Product Owner,No
15473,Male,Married,Post-Graduate,4,3,9,56046,2,-1,Public Relations,2,4,2,1,2,1,16,7,10,4,1,Product Manager,Yes
15474,Male,Married,Doctorate,2,3,14,54235,2,0,Public Relations,3,2,1,4,3,1,17,4,8,3,5,Senior Developer,Yes
15475,Male,Married,Post-Graduate,2,5,7,78919,2,1,Consultancy,3,2,0,2,3,4,20,8,9,3,5,Product Owner,Yes
15476,Male,Divorced,Post-Graduate,2,4,14,48426,2,1,Development,3,1,1,5,2,1,18,5,8,3,3,Senior Developer,Yes
15477,Female,Divorced,Post-Graduate,3,4,8,55872,2,0,Sales,3,4,5,4,1,1,20,3,10,1,3,Product Manager,No
15478,Male,Married,Graduate,4,5,9,78262,2,1,DevOps,3,3,1,5,5,1,15,6,11,3,1,Product Owner,No
15479,Male,Married,Graduate,2,5,8,93934,3,-2,Development,3,5,1,1,5,4,17,10,10,2,2,VP,Yes
15480,Female,Single,Graduate,4,5,8,78564,3,-1,Training,3,6,0,3,3,4,15,3,10,4,5,VP,No
15481,Male,Married,Graduate,2,4,17,62011,2,1,Testing,2,2,3,1,3,1,20,4,6,1,3,Senior Developer,No
15482,Male,Married,Graduate,3,3,14,57121,2,-2,Sales,2,0,3,3,5,3,11,5,6,3,1,Senior Developer,Yes
15483,Female,Single,Post-Graduate,3,4,7,82395,2,1,Public Relations,3,3,0,5,3,4,20,11,11,4,3,VP,No
15484,Male,Married,Graduate,1,5,6,80891,2,1,HR,3,7,0,2,2,1,19,10,10,2,2,VP,Yes
15485,Female,Divorced,Graduate,1,5,9,76053,3,-2,Public Relations,3,5,5,3,5,3,18,7,11,3,3,Product Owner,Yes
15486,Female,Married,Post-Graduate,1,3,6,77410,3,-1,Public Relations,3,2,2,4,4,3,16,8,11,2,5,Product Owner,Yes
15487,Female,Married,Post-Graduate,2,4,18,64018,2,0,Development,3,3,3,4,1,1,19,5,8,2,1,Senior Developer,No
15488,Male,Single,Graduate,1,4,8,78874,3,-1,Sales,3,3,3,2,3,4,13,3,11,3,3,Product Owner,No
15489,Female,Married,Graduate,4,3,7,79869,3,1,People Management,3,5,0,5,4,4,19,4,11,2,4,VP,Yes
15490,Male,Single,Graduate,4,5,10,55108,2,-1,Product Management,3,6,2,4,4,4,19,4,9,2,1,Product Manager,Yes
15491,Female,Married,Post-Graduate,1,5,6,89664,2,1,HR,3,6,1,5,2,4,12,4,9,2,4,Product Owner,Yes
15492,Female,Single,Post-Graduate,4,5,16,46711,2,-2,Testing,3,1,0,2,1,4,10,4,7,4,5,Senior Developer,Yes
15493,Male,Married,Post-Graduate,3,5,16,57195,2,-2,Product Management,2,3,1,5,2,1,20,3,5,4,1,Senior Developer,No
15494,Male,Divorced,Graduate,3,3,7,80231,3,-2,Product Management,3,4,0,5,5,2,16,7,11,3,1,VP,Yes
15495,Female,Married,Graduate,3,5,7,79732,3,0,HR,3,5,4,1,5,4,14,3,9,2,4,Product Owner,Yes
15496,Male,Divorced,Post-Graduate,4,4,8,86251,3,1,Development,3,6,4,4,4,2,18,10,14,3,2,VP,Yes
15497,Female,Single,Graduate,1,4,7,80152,3,-1,Consultancy,3,3,4,5,3,3,18,6,12,4,5,VP,Yes
15498,Female,Married,Graduate,3,4,9,76780,2,-1,Development,3,4,1,1,4,1,20,3,9,3,4,Product Owner,Yes
15499,Female,Married,Doctorate,2,3,12,55782,2,-2,People Management,2,5,5,1,3,1,13,7,10,2,5,Product Manager,No
15500,Male,Married,Graduate,2,4,8,89847,2,-1,Public Relations,3,2,2,3,1,4,12,4,10,2,5,Product Owner,Yes
15501,Male,Married,Graduate,1,3,9,86341,3,-2,People Management,3,7,4,1,2,1,17,5,10,3,1,Product Owner,No
15502,Female,Married,Graduate,4,3,8,48773,2,-2,Public Relations,2,6,1,3,4,3,11,6,9,3,4,Product Manager,Yes
15503,Female,Married,Post-Graduate,1,3,7,79116,2,-1,People Management,3,7,0,4,1,2,20,8,10,2,3,Product Owner,Yes
15504,Male,Married,Post-Graduate,3,5,6,86085,3,-2,DevOps,3,8,0,3,4,1,15,4,11,4,5,VP,No
15505,Male,Single,Post-Graduate,1,3,9,77987,3,-2,People Management,3,6,0,5,4,1,18,8,11,2,5,VP,Yes
15506,Female,Divorced,Post-Graduate,1,5,8,88241,2,-2,Training,3,3,6,1,5,1,17,11,11,4,5,VP,Yes
15507,Male,Married,Graduate,1,4,13,62800,2,1,Training,2,0,2,1,4,4,20,3,7,2,1,Senior Developer,No
15508,Male,Married,Post-Graduate,4,5,8,79529,3,1,Training,3,4,3,3,3,3,18,5,10,3,1,Product Owner,Yes
15509,Female,Single,Graduate,3,3,10,64082,2,0,Testing,3,6,2,2,1,2,8,5,8,1,3,Product Manager,Yes
15510,Female,Married,Post-Graduate,4,4,12,64997,2,-2,Consultancy,3,7,5,2,4,1,20,7,8,1,4,Product Manager,Yes
15511,Male,Single,Graduate,2,4,13,59309,2,-1,Product Management,2,0,3,1,1,4,17,3,7,1,1,Senior Developer,No
15512,Female,Married,Graduate,4,3,6,86824,3,-2,Training,3,5,0,3,4,3,9,5,9,1,4,Product Owner,Yes
15513,Male,Married,Post-Graduate,2,4,7,76424,3,-2,DevOps,3,7,4,2,5,3,19,10,11,3,3,VP,No
15514,Female,Married,Post-Graduate,2,4,17,45018,2,-1,Development,3,2,0,2,2,2,9,5,6,1,3,Senior Developer,Yes
15515,Male,Married,Graduate,4,3,15,61366,2,0,Product Management,2,1,0,3,5,4,16,5,7,2,3,Senior Developer,Yes
15516,Male,Married,Post-Graduate,3,5,7,87561,2,-2,DevOps,3,3,6,4,2,1,17,8,11,2,3,VP,Yes
15517,Male,Married,Post-Graduate,2,4,12,63692,2,-2,HR,2,5,2,5,3,2,9,6,8,3,5,Product Manager,Yes
15518,Male,Married,Graduate,4,4,11,59131,2,0,Training,3,5,5,2,5,4,20,4,8,1,4,Product Manager,No
15519,Female,Married,Post-Graduate,4,3,15,63345,2,-2,Training,3,1,2,3,2,2,9,3,7,1,1,Senior Developer,No
15520,Male,Married,Graduate,1,3,12,45390,2,-2,DevOps,2,7,5,5,1,2,8,6,8,1,2,Product Manager,Yes
15521,Male,Married,Graduate,3,3,16,47328,2,0,Development,2,1,3,3,1,2,17,5,8,1,1,Senior Developer,No
15522,Female,Divorced,Graduate,4,4,9,86882,3,-1,DevOps,3,4,4,4,5,1,12,8,9,4,3,Product Owner,No
15523,Female,Married,Graduate,4,3,18,53484,2,1,HR,2,0,3,5,4,3,9,5,8,2,4,Senior Developer,No
15524,Male,Married,Graduate,1,3,6,86677,3,1,Product Management,3,7,6,4,4,1,18,10,12,2,1,VP,Yes
15525,Male,Married,Post-Graduate,3,4,6,78191,2,1,DevOps,3,7,2,2,3,2,11,7,10,4,4,Product Owner,Yes
15526,Male,Divorced,Graduate,2,3,8,55746,2,-2,Product Management,3,2,1,4,2,3,13,6,9,2,5,Product Manager,Yes
15527,Female,Married,Graduate,4,3,12,54392,2,0,Sales,2,0,0,2,2,3,12,4,5,3,5,Senior Developer,Yes
15528,Female,Married,Post-Graduate,4,3,17,45608,2,1,Product Management,2,3,0,2,3,4,19,3,8,4,3,Senior Developer,Yes
15529,Female,Married,Graduate,2,3,9,57337,2,-2,Testing,3,7,5,4,1,4,11,7,8,3,1,Product Manager,Yes
15530,Male,Married,Graduate,4,5,12,49628,2,0,People Management,2,7,2,5,1,2,13,6,9,1,4,Product Manager,Yes
15531,Male,Married,Doctorate,4,5,8,89847,3,1,Public Relations,3,6,6,3,4,2,18,9,13,3,3,VP,No
15532,Male,Married,Post-Graduate,3,4,6,84467,3,-2,Public Relations,3,6,1,3,2,2,14,8,9,2,3,Product Owner,No
15533,Male,Divorced,Graduate,1,5,9,87438,3,-2,Product Management,3,3,5,2,1,2,16,3,11,4,3,Product Owner,Yes
15534,Male,Married,Post-Graduate,4,4,11,56945,2,1,Sales,3,7,2,1,4,1,15,6,9,4,3,Product Manager,Yes
15535,Male,Married,Graduate,3,4,9,94055,3,-1,HR,3,8,2,3,5,2,18,6,12,2,4,VP,Yes
15536,Male,Divorced,Graduate,2,4,12,64405,2,0,Consultancy,2,3,2,2,5,4,9,3,5,2,2,Senior Developer,Yes
15537,Male,Single,Post-Graduate,3,5,9,77289,2,-2,Training,3,7,2,1,2,4,16,3,14,2,1,VP,Yes
15538,Male,Single,Graduate,3,5,6,86213,3,-2,Public Relations,3,3,5,3,4,3,19,8,13,2,5,VP,No
15539,Female,Single,Doctorate,2,5,6,79263,2,-1,Development,3,2,5,1,2,4,20,7,10,4,1,Product Owner,Yes
15540,Female,Single,Graduate,1,5,10,45361,2,-2,Public Relations,2,3,2,5,1,1,19,4,10,3,4,Product Manager,Yes
15541,Female,Married,Graduate,1,4,17,54105,2,1,Training,2,2,0,2,5,4,16,3,8,1,3,Senior Developer,Yes
15542,Male,Married,Graduate,3,5,7,84047,3,0,HR,3,5,5,4,2,2,18,10,14,3,4,VP,Yes
15543,Female,Married,Post-Graduate,1,5,7,79404,2,-1,Sales,3,4,2,1,2,1,19,4,12,3,4,VP,No
15544,Male,Married,Graduate,2,4,12,57696,2,0,Sales,3,2,3,4,4,1,13,5,5,1,4,Senior Developer,Yes
15545,Female,Married,Post-Graduate,1,3,8,81675,2,-1,Product Management,3,7,3,5,3,3,19,5,11,4,2,Product Owner,Yes
15546,Male,Divorced,Post-Graduate,3,3,7,92016,3,-1,People Management,3,5,0,4,2,1,8,5,8,1,1,Product Owner,No
15547,Female,Married,Doctorate,4,4,7,85000,2,0,HR,3,7,5,3,3,2,20,7,14,3,5,VP,No
15548,Male,Single,Post-Graduate,3,5,9,84182,3,-1,DevOps,3,3,3,4,4,1,11,5,9,2,2,Product Owner,No
15549,Male,Married,Doctorate,3,4,9,60055,2,-2,Development,3,3,3,4,4,4,14,7,8,1,3,Product Manager,No
15550,Male,Married,Graduate,3,4,6,75120,3,-1,HR,3,7,6,2,4,2,18,10,10,3,2,VP,Yes
15551,Female,Married,Post-Graduate,3,5,18,52654,2,-2,People Management,2,2,0,3,3,4,9,4,6,2,4,Senior Developer,Yes
15552,Female,Married,Graduate,1,4,14,52816,2,1,HR,2,2,0,1,4,1,19,5,6,1,1,Senior Developer,No
15553,Female,Married,Graduate,4,3,9,82925,3,0,Consultancy,3,4,5,2,4,4,18,5,9,2,5,Product Owner,Yes
15554,Female,Married,Post-Graduate,3,3,9,82249,2,1,HR,3,5,3,5,3,1,16,7,10,3,4,Product Owner,No
15555,Female,Married,Post-Graduate,4,5,18,53590,2,1,Sales,3,2,3,5,1,1,16,4,6,3,3,Senior Developer,Yes
15556,Female,Single,Graduate,3,3,7,78735,3,0,HR,3,3,4,4,3,4,16,10,11,2,4,VP,Yes
15557,Male,Married,Post-Graduate,3,4,8,49968,2,-1,Sales,2,5,2,3,5,1,16,5,8,1,1,Product Manager,No
15558,Female,Married,Graduate,4,5,10,60230,2,1,DevOps,3,7,1,4,5,3,15,6,9,2,3,Product Manager,No
15559,Male,Married,Post-Graduate,1,3,9,82227,2,1,Sales,3,6,1,3,2,3,9,3,9,1,3,Product Owner,Yes
15560,Female,Married,Graduate,3,4,7,85855,3,-1,Consultancy,3,5,6,4,2,3,19,7,13,2,1,VP,No
15561,Male,Married,Graduate,1,4,9,85208,2,1,Public Relations,3,5,0,1,1,4,16,6,11,2,2,Product Owner,Yes
15562,Male,Divorced,Graduate,1,4,8,60297,2,1,Testing,3,3,1,1,4,4,9,4,8,3,4,Product Manager,Yes
15563,Male,Married,Graduate,1,3,8,50166,2,-1,Training,3,5,1,5,4,2,12,3,10,4,3,Product Manager,No
15564,Female,Married,Post-Graduate,3,3,15,64050,2,1,Product Management,2,3,0,3,1,1,8,4,5,3,5,Senior Developer,No
15565,Male,Divorced,Post-Graduate,1,4,6,89854,3,-1,Sales,3,3,2,2,3,4,13,3,9,2,5,Product Owner,No
15566,Male,Married,Doctorate,1,4,8,84108,2,-2,DevOps,3,6,3,5,1,4,15,6,14,2,1,VP,No
15567,Male,Divorced,Graduate,4,3,9,80255,3,-1,Product Management,3,4,2,4,3,1,18,6,14,3,4,VP,Yes
15568,Female,Married,Post-Graduate,1,3,7,91260,2,-1,Testing,3,7,5,4,1,2,17,7,11,3,5,Product Owner,No
15569,Male,Married,Doctorate,4,4,16,50668,2,0,Training,3,1,1,4,4,1,10,3,7,1,3,Senior Developer,No
15570,Male,Married,Graduate,4,3,9,82830,2,1,Consultancy,3,5,1,1,4,2,15,11,11,4,4,VP,Yes
15571,Male,Married,Graduate,4,4,9,80317,2,-2,Consultancy,3,7,2,3,4,4,15,11,14,3,3,VP,No
15572,Male,Married,Post-Graduate,1,4,12,58397,2,0,DevOps,3,0,1,1,1,4,14,3,7,1,1,Senior Developer,No
15573,Male,Married,Graduate,4,3,9,62395,2,1,HR,2,5,2,1,4,1,8,4,8,1,3,Product Manager,Yes
