prediction,ID,Gender,MaritalStatus,Education,CommuteDistance,PerformanceRating,PercentSalaryHike,MonthlyIncome,StockOptionLevel,CompanyProfit,Department,BusinessTravel,YearsWithCurrentManager,YearsSinceLastPromotion,JobSatisfaction,EnvironmentSatisfaction,TrainingHoursLastYear,TotalWorkingYears,YearsInCurrentRole,YearsAtCompany,NumbersCompaniesWorked,WorkLifeBal,JobLevel
Yes,140000,Female,Married,Post-Graduate,1,5,12,63779,2,-2,Testing,2,3,5,4,2,2,8,3,8,1,3,Product Manager
Yes,14001,Female,Single,Graduate,4,4,6,79004,3,1,Consultancy,3,8,3,2,5,2,15,6,11,2,4,VP
Yes,14002,Male,Single,Doctorate,2,5,9,90519,3,-2,Testing,3,5,5,3,2,2,12,6,10,2,3,Product Owner
Yes,14003,Male,Married,Post-Graduate,3,4,9,75084,2,1,People Management,3,5,2,4,3,2,17,4,9,3,4,Product Owner
Yes,140040,Male,Single,Graduate,1,3,9,85632,2,-2,Training,3,3,0,3,4,1,16,4,13,3,5,VP
Yes,14005,Female,Single,Graduate,1,4,8,60938,2,0,Public Relations,2,3,2,4,5,2,11,5,9,2,4,Product Manager
Yes,140060,Male,Married,Post-Graduate,2,3,18,46048,2,-1,Product Management,2,1,2,3,1,2,17,3,5,4,5,Senior Developer
Yes,14007,Male,Married,Post-Graduate,3,5,8,64353,2,-1,DevOps,2,6,5,5,2,1,9,6,8,2,4,Product Manager
Yes,140080,Female,Married,Post-Graduate,4,3,9,86862,2,0,Development,3,2,4,1,1,2,9,6,9,1,2,Product Owner
Yes,14009,Male,Married,Post-Graduate,4,5,7,89287,3,1,Public Relations,3,8,6,3,1,1,15,8,10,3,1,VP
Yes,14010,Male,Married,Post-Graduate,1,5,7,94214,2,-1,DevOps,3,2,5,3,5,4,11,5,9,3,4,Product Owner
Yes,14011,Male,Married,Post-Graduate,2,3,6,76854,2,-1,DevOps,3,6,1,3,1,3,15,3,9,3,1,Product Owner
Yes,14012,Male,Single,Post-Graduate,2,4,9,86894,2,0,HR,3,2,3,4,5,1,11,7,10,2,4,Product Owner
Yes,14013,Female,Married,Graduate,4,5,16,48429,2,-2,Public Relations,2,1,1,4,5,2,11,5,6,3,5,Senior Developer
Yes,14014,Male,Single,Graduate,3,5,8,88411,2,-1,DevOps,3,5,1,1,2,2,18,5,11,4,2,VP
Yes,14015,Female,Married,Post-Graduate,4,3,7,84143,2,0,Sales,3,6,5,5,4,4,15,8,12,2,4,VP
Yes,14016,Female,Married,Post-Graduate,3,4,8,91834,3,0,Sales,3,6,1,3,4,4,15,4,11,2,4,VP
Yes,14017,Female,Married,Graduate,2,3,7,79296,2,-1,Training,3,9,4,5,4,4,15,10,10,2,4,VP
Yes,14018,Female,Married,Doctorate,4,4,16,53458,2,1,HR,2,1,1,1,1,3,15,4,5,3,2,Senior Developer
Yes,14019,Female,Divorced,Post-Graduate,1,4,8,88767,3,1,Product Management,3,5,4,3,1,4,16,4,9,3,1,Product Owner
