ID,Gender,MaritalStatus,Education,CommuteDistance,PerformanceRating,PercentSalaryHike,MonthlyIncome,StockOptionLevel,CompanyProfit,Department,BusinessTravel,YearsWithCurrentManager,YearsSinceLastPromotion,JobSatisfaction,EnvironmentSatisfaction,TrainingHoursLastYear,TotalWorkingYears,YearsInCurrentRole,YearsAtCompany,NumbersCompaniesWorked,WorkLifeBal,JobLevel,Attrition
8399,Male,Married,Post-Graduate,1,5,13,56316,1,0,Training,1,0,0,4,2,3,6,0,0,3,3,Developer,No
8400,Female,Single,Post-Graduate,4,5,15,48077,1,0,Sales,1,0,1,5,3,3,5,3,4,1,1,Consultant,Yes
8401,Female,Married,Graduate,3,4,13,63727,2,-2,Testing,2,5,4,3,4,1,8,2,7,3,2,Senior Consultant,Yes
8402,Female,Married,Post-Graduate,1,5,14,61609,2,-2,Training,2,3,3,4,4,2,8,2,7,1,1,Senior Developer,Yes
8403,Female,Married,Post-Graduate,2,4,15,57155,2,1,DevOps,1,3,1,2,4,3,7,3,5,4,4,Consultant,No
8404,Female,Married,Post-Graduate,1,4,14,47668,2,-2,Public Relations,1,0,2,5,4,2,7,5,6,0,4,Consultant,Yes
8405,Male,Married,Post-Graduate,1,4,18,50382,2,-2,Development,1,0,1,3,3,3,7,3,6,0,4,Consultant,No
8406,Male,Married,Post-Graduate,2,4,13,46541,2,-2,People Management,1,1,2,4,3,2,7,2,2,4,1,Developer,Yes
8407,Male,Married,Post-Graduate,1,4,13,77852,2,1,Consultancy,2,0,0,2,3,2,10,0,0,2,3,Senior Developer,Yes
8408,Female,Married,Graduate,1,3,16,47828,1,1,Testing,1,3,1,4,3,3,7,3,3,1,4,Developer,No
8409,Female,Married,Graduate,1,2,14,65691,2,0,Sales,2,0,0,5,3,3,10,1,1,3,4,Senior Consultant,Yes
8410,Female,Divorced,Post-Graduate,1,4,16,45872,2,-1,HR,1,0,0,3,3,3,7,0,0,1,2,Consultant,Yes
8411,Female,Married,Graduate,2,4,13,59679,2,0,Development,2,0,0,5,5,2,10,0,0,1,3,Senior Developer,Yes
8412,Female,Married,Graduate,2,5,12,51144,1,0,DevOps,1,1,2,3,3,2,5,2,2,1,1,Developer,Yes
8413,Female,Single,Graduate,1,3,12,56209,2,-1,Sales,2,0,1,1,4,3,8,3,5,4,2,Senior Developer,No
8414,Male,Married,Graduate,2,3,12,60580,2,-2,HR,2,3,3,5,4,4,11,3,7,4,3,Senior Consultant,No
8415,Male,Single,Post-Graduate,1,4,12,47589,2,0,People Management,1,3,0,3,1,4,7,3,3,2,3,Consultant,Yes
8416,Female,Married,Graduate,2,4,17,51339,2,0,HR,1,1,1,1,1,1,5,2,2,1,4,Developer,No
8417,Male,Married,Post-Graduate,1,4,12,82650,2,0,Testing,2,3,2,5,1,3,9,2,5,4,4,Senior Developer,Yes
8418,Male,Single,Graduate,4,3,16,48430,1,1,Testing,1,1,0,2,5,1,6,1,1,2,4,Developer,No
8419,Male,Married,Graduate,1,5,15,55717,1,-2,Development,1,1,0,4,3,2,7,4,5,1,1,Consultant,No
8420,Female,Married,Post-Graduate,2,5,18,50415,1,-1,Sales,1,2,1,5,1,3,9,2,2,3,4,Consultant,Yes
8421,Male,Single,Graduate,4,4,14,74642,2,-2,Testing,2,2,3,5,3,4,9,3,4,2,3,Senior Consultant,No
8422,Male,Married,Graduate,4,4,14,50347,2,-2,Product Management,1,0,1,4,4,2,8,2,2,1,4,Developer,Yes
8423,Male,Married,Graduate,1,3,17,52770,2,0,People Management,1,3,2,1,4,2,5,3,3,1,2,Consultant,No
8424,Female,Married,Graduate,2,4,16,47296,1,0,Testing,1,1,1,4,2,2,6,1,1,1,4,Consultant,Yes
8425,Male,Married,Graduate,2,4,10,63067,2,1,Product Management,2,3,1,4,3,4,9,2,4,1,1,Senior Consultant,Yes
8426,Male,Married,Post-Graduate,2,3,14,56635,1,-2,Public Relations,1,3,2,2,1,3,9,3,3,4,4,Consultant,No
8427,Male,Married,Post-Graduate,1,4,10,80344,2,1,Training,2,0,4,1,3,4,11,3,4,2,3,Senior Developer,No
8428,Male,Married,Post-Graduate,1,5,11,57130,2,0,DevOps,2,0,1,3,3,1,12,2,2,4,4,Senior Consultant,No
8429,Female,Married,Graduate,2,3,13,50236,1,0,Development,1,0,0,3,4,1,9,0,0,1,2,Developer,Yes
8430,Female,Married,Graduate,2,4,17,52683,1,1,DevOps,1,0,0,4,3,4,6,0,0,1,3,Developer,Yes
8431,Female,Married,Graduate,2,4,13,67016,2,-2,Training,2,4,4,5,1,1,12,4,5,1,3,Senior Developer,Yes
8432,Male,Single,Post-Graduate,3,4,11,68892,2,-1,Consultancy,2,0,1,4,4,3,12,2,3,1,4,Senior Consultant,Yes
8433,Male,Married,Graduate,4,3,12,52165,1,-2,Consultancy,1,0,0,4,3,3,5,0,0,4,5,Developer,No
8434,Male,Married,Graduate,3,5,13,76827,2,1,Public Relations,2,2,3,3,4,2,9,2,5,1,2,Senior Developer,No
8435,Female,Married,Post-Graduate,4,4,10,74419,2,-2,Training,2,5,0,4,5,2,12,3,7,3,3,Senior Developer,No
