UserId,Nodes,Path,Names,Values,ReasonToManager,ReasonInExitInterview
14000,[ 0  2 10 12],node 0-->node 2-->node 10-->leaf node 12 (Yes),Education_Post-Graduate-->TrainingHoursLastYear-->TrainingHoursLastYear-->Yes,"node 0: (X[0,13] (= 1) > 0.9999042749404907)-->node 2: (X[0,1] (= 2) > 1.0085302591323853)-->node 10: (X[0,1] (= 2) > 1.9869093894958496)-->leaf node 12 (Yes)",Direction,Strategy 
14001,[0 1 3 5 8],node 0-->node 1-->node 3-->node 5-->leaf node 8 (Yes),Education_Post-Graduate-->Education_Post-Graduate-->Gender_Male-->Gender_Female-->Yes,"node 0: (X[1,13] (= 0) <= 0.9999042749404907)-->node 1: (X[1,13] (= 0) <= 3.684971670736559e-05)-->node 3: (X[1,7] (= 0) <= 0.9963334798812866)-->node 5: (X[1,6] (= 1) > 0.9971165657043457)-->leaf node 8 (Yes)",Direction,Strategy 
14002,[0 1 3 6],node 0-->node 1-->node 3-->leaf node 6 (No),Education_Post-Graduate-->Education_Post-Graduate-->Gender_Male-->No,"node 0: (X[2,13] (= 0) <= 0.9999042749404907)-->node 1: (X[2,13] (= 0) <= 3.684971670736559e-05)-->node 3: (X[2,7] (= 1) > 0.9963334798812866)-->leaf node 6 (No)",,
14003,[ 0  2 10 12],node 0-->node 2-->node 10-->leaf node 12 (Yes),Education_Post-Graduate-->TrainingHoursLastYear-->TrainingHoursLastYear-->Yes,"node 0: (X[3,13] (= 1) > 0.9999042749404907)-->node 2: (X[3,1] (= 2) > 1.0085302591323853)-->node 10: (X[3,1] (= 2) > 1.9869093894958496)-->leaf node 12 (Yes)",Direction,Strategy 
14004,[0 1 3 6],node 0-->node 1-->node 3-->leaf node 6 (No),Education_Post-Graduate-->Education_Post-Graduate-->Gender_Male-->No,"node 0: (X[4,13] (= 0) <= 0.9999042749404907)-->node 1: (X[4,13] (= 0) <= 3.684971670736559e-05)-->node 3: (X[4,7] (= 1) > 0.9963334798812866)-->leaf node 6 (No)",,
14005,[0 1 3 5 8],node 0-->node 1-->node 3-->node 5-->leaf node 8 (No),Education_Post-Graduate-->Education_Post-Graduate-->Gender_Male-->Gender_Female-->No,"node 0: (X[5,13] (= 0) <= 0.9999042749404907)-->node 1: (X[5,13] (= 0) <= 3.684971670736559e-05)-->node 3: (X[5,7] (= 0) <= 0.9963334798812866)-->node 5: (X[5,6] (= 1) > 0.9971165657043457)-->leaf node 8 (No)",,
14006,[ 0  2 10 12],node 0-->node 2-->node 10-->leaf node 12 (Yes),Education_Post-Graduate-->TrainingHoursLastYear-->TrainingHoursLastYear-->Yes,"node 0: (X[6,13] (= 1) > 0.9999042749404907)-->node 2: (X[6,1] (= 2) > 1.0085302591323853)-->node 10: (X[6,1] (= 2) > 1.9869093894958496)-->leaf node 12 (Yes)",Direction,Strategy 
14007,[0 2 9],node 0-->node 2-->leaf node 9 (No),Education_Post-Graduate-->TrainingHoursLastYear-->No,"node 0: (X[7,13] (= 1) > 0.9999042749404907)-->node 2: (X[7,1] (= 1) <= 1.0085302591323853)-->leaf node 9 (No)",,
14008,[ 0  2 10 12],node 0-->node 2-->node 10-->leaf node 12 (No),Education_Post-Graduate-->TrainingHoursLastYear-->TrainingHoursLastYear-->No,"node 0: (X[8,13] (= 1) > 0.9999042749404907)-->node 2: (X[8,1] (= 2) > 1.0085302591323853)-->node 10: (X[8,1] (= 2) > 1.9869093894958496)-->leaf node 12 (No)",,
14009,[0 2 9],node 0-->node 2-->leaf node 9 (No),Education_Post-Graduate-->TrainingHoursLastYear-->No,"node 0: (X[9,13] (= 1) > 0.9999042749404907)-->node 2: (X[9,1] (= 1) <= 1.0085302591323853)-->leaf node 9 (No)",,
14010,[ 0  2 10 12],node 0-->node 2-->node 10-->leaf node 12 (Yes),Education_Post-Graduate-->TrainingHoursLastYear-->TrainingHoursLastYear-->Yes,"node 0: (X[10,13] (= 1) > 0.9999042749404907)-->node 2: (X[10,1] (= 4) > 1.0085302591323853)-->node 10: (X[10,1] (= 4) > 1.9869093894958496)-->leaf node 12 (Yes)",Direction,Strategy 
14011,[ 0  2 10 12],node 0-->node 2-->node 10-->leaf node 12 (Yes),Education_Post-Graduate-->TrainingHoursLastYear-->TrainingHoursLastYear-->Yes,"node 0: (X[11,13] (= 1) > 0.9999042749404907)-->node 2: (X[11,1] (= 3) > 1.0085302591323853)-->node 10: (X[11,1] (= 3) > 1.9869093894958496)-->leaf node 12 (Yes)",Direction,Strategy 
