UserId,Nodes,Path,Names,Values,ReasonToManager,ReasonInExitInterview
7000,[0 1 6 8],node 0-->node 1-->node 6-->leaf node 8 (No),Gender_Female-->Gender_Male-->PerformanceRating-->No,"node 0: (X[0,6] (= 0) <= 0.999654233455658)-->node 1: (X[0,7] (= 1) > 0.999441921710968)-->node 6: (X[0,3] (= 4) > 3.998718023300171)-->leaf node 8 (No)",,
7001,[0 2 3 9],node 0-->node 2-->node 3-->leaf node 9 (No),Gender_Female-->MaritalStatus_Married-->MaritalStatus_Married-->No,"node 0: (X[1,6] (= 1) > 0.999654233455658)-->node 2: (X[1,9] (= 0) <= 0.9965006709098816)-->node 3: (X[1,9] (= 0) <= 0.00488875899463892)-->leaf node 9 (No)",,
7002,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[2,6] (= 1) > 0.999654233455658)-->node 2: (X[2,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Family Responsibilities,Rigid Maternity Policy
7003,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[3,6] (= 1) > 0.999654233455658)-->node 2: (X[3,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Family Responsibilities,Rigid Maternity Policy
7004,[ 0  1  6  7 11],node 0-->node 1-->node 6-->node 7-->leaf node 11 (No),Gender_Female-->Gender_Male-->PerformanceRating-->PerformanceRating-->No,"node 0: (X[4,6] (= 0) <= 0.999654233455658)-->node 1: (X[4,7] (= 1) > 0.999441921710968)-->node 6: (X[4,3] (= 3) <= 3.998718023300171)-->node 7: (X[4,3] (= 3) <= 3.001929998397827)-->leaf node 11 (No)",,
7005,[0 1 6 8],node 0-->node 1-->node 6-->leaf node 8 (Yes),Gender_Female-->Gender_Male-->PerformanceRating-->Yes,"node 0: (X[5,6] (= 0) <= 0.999654233455658)-->node 1: (X[5,7] (= 1) > 0.999441921710968)-->node 6: (X[5,3] (= 4) > 3.998718023300171)-->leaf node 8 (Yes)",Business Travel ,Business Travel 
7006,[ 0  1  6  7 11],node 0-->node 1-->node 6-->node 7-->leaf node 11 (No),Gender_Female-->Gender_Male-->PerformanceRating-->PerformanceRating-->No,"node 0: (X[6,6] (= 0) <= 0.999654233455658)-->node 1: (X[6,7] (= 1) > 0.999441921710968)-->node 6: (X[6,3] (= 3) <= 3.998718023300171)-->node 7: (X[6,3] (= 3) <= 3.001929998397827)-->leaf node 11 (No)",,
7007,[0 2 4],node 0-->node 2-->leaf node 4 (No),Gender_Female-->MaritalStatus_Married-->No,"node 0: (X[7,6] (= 1) > 0.999654233455658)-->node 2: (X[7,9] (= 1) > 0.9965006709098816)-->leaf node 4 (No)",,
7008,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[8,6] (= 1) > 0.999654233455658)-->node 2: (X[8,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Business Travel ,Business Travel 
7009,[0 2 3 9],node 0-->node 2-->node 3-->leaf node 9 (Yes),Gender_Female-->MaritalStatus_Married-->MaritalStatus_Married-->Yes,"node 0: (X[9,6] (= 1) > 0.999654233455658)-->node 2: (X[9,9] (= 0) <= 0.9965006709098816)-->node 3: (X[9,9] (= 0) <= 0.00488875899463892)-->leaf node 9 (Yes)",Business Travel ,Business Travel 
