UserId,Nodes,Path,Names,Values,ReasonToManager,ReasonInExitInterview
0,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[0,3] (= 4) > 3.996037006378174)-->node 2: (X[0,1] (= 4) > 3.9844515323638916)-->leaf node 8 (Yes)",Family Responsibilities,Rigid Maternity Policy
1,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[1,3] (= 4) > 3.996037006378174)-->node 2: (X[1,1] (= 5) > 3.9844515323638916)-->leaf node 8 (Yes)",Technology,Higher studies
2,[ 0  2  7  9 11],node 0-->node 2-->node 7-->node 9-->leaf node 11 (Yes),PerformanceRating-->TrainingHoursLastYear-->TrainingHoursLastYear-->MaritalStatus_Single-->Yes,"node 0: (X[2,3] (= 4) > 3.996037006378174)-->node 2: (X[2,1] (= 2) <= 3.9844515323638916)-->node 7: (X[2,1] (= 2) <= 3.000603675842285)-->node 9: (X[2,9] (= 0) <= 0.01643943414092064)-->leaf node 11 (Yes)",Family Responsibilities,Rigid Maternity Policy
3,[ 0  2  7  9 12],node 0-->node 2-->node 7-->node 9-->leaf node 12 (Yes),PerformanceRating-->TrainingHoursLastYear-->TrainingHoursLastYear-->MaritalStatus_Single-->Yes,"node 0: (X[3,3] (= 4) > 3.996037006378174)-->node 2: (X[3,1] (= 3) <= 3.9844515323638916)-->node 7: (X[3,1] (= 3) <= 3.000603675842285)-->node 9: (X[3,9] (= 1) > 0.01643943414092064)-->leaf node 12 (Yes)",Repetitive task,Want Challenging task
4,[ 0  2  7  9 11],node 0-->node 2-->node 7-->node 9-->leaf node 11 (Yes),PerformanceRating-->TrainingHoursLastYear-->TrainingHoursLastYear-->MaritalStatus_Single-->Yes,"node 0: (X[4,3] (= 4) > 3.996037006378174)-->node 2: (X[4,1] (= 3) <= 3.9844515323638916)-->node 7: (X[4,1] (= 3) <= 3.000603675842285)-->node 9: (X[4,9] (= 0) <= 0.01643943414092064)-->leaf node 11 (Yes)",Family Responsibilities,Rigid Maternity Policy
5,[0 1 3],node 0-->node 1-->leaf node 3 (No),PerformanceRating-->MaritalStatus_Married-->No,"node 0: (X[5,3] (= 3) <= 3.996037006378174)-->node 1: (X[5,8] (= 0) <= 0.9974051713943481)-->leaf node 3 (No)",,
6,[0 1 4 6],node 0-->node 1-->node 4-->leaf node 6 (No),PerformanceRating-->MaritalStatus_Married-->Gender_Female-->No,"node 0: (X[6,3] (= 3) <= 3.996037006378174)-->node 1: (X[6,8] (= 1) > 0.9974051713943481)-->node 4: (X[6,6] (= 1) > 0.9539861679077148)-->leaf node 6 (No)",,
7,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[7,3] (= 5) > 3.996037006378174)-->node 2: (X[7,1] (= 5) > 3.9844515323638916)-->leaf node 8 (Yes)",Technology,Higher studies
8,[0 1 4 6],node 0-->node 1-->node 4-->leaf node 6 (Yes),PerformanceRating-->MaritalStatus_Married-->Gender_Female-->Yes,"node 0: (X[8,3] (= 3) <= 3.996037006378174)-->node 1: (X[8,8] (= 1) > 0.9974051713943481)-->node 4: (X[8,6] (= 1) > 0.9539861679077148)-->leaf node 6 (Yes)",Family Responsibilities,Rigid Maternity Policy
9,[0 2 8],node 0-->node 2-->leaf node 8 (No),PerformanceRating-->TrainingHoursLastYear-->No,"node 0: (X[9,3] (= 4) > 3.996037006378174)-->node 2: (X[9,1] (= 5) > 3.9844515323638916)-->leaf node 8 (No)",,
